ID,PVP1V1Rate,PVP1V1AddHPRate,DynamicAtt,MAX_HP,HP_RATE,HP_RECOVER,EnergyRecoverRate,ATTACK,ATK_RATE,DEFENSE,DEF_RATE,RESILIENCE,Penetration_RATE,SPEED,Walk_Speed,SPD_RATE,ATK_SPEED,CRT_RATE,CRT_DMG_Rate,CRT_Resist_Rate,WEIGHT,VAMPIRE,VAMPIRE_Value,BONUS_SKILL,Scale,DamageReduce,HitFlyValue,IRT_VALUE,Friction,ImmunityStatusAnimationLimitType
32001,,-0.5,,5080,,212,,523,,305,,,,10.8,,,,0.1,0.3,,20,,,,,,,,10,
32002,,-0.5,,7030,,293,,622,,397,,,,10.6,,,,0.1,0.3,,20,,,,,,,,10,
33001,,-0.5,,5320,,222,,501,,347,,,,10.5,,,,0.1,0.3,,20,,,,,,,,10,
33002,,-0.5,,7350,,306,,589,,441,,,,10.5,,,,0.1,0.3,,20,,,993015,,,,,10,
34001,,-0.5,,5150,,215,,519,,338,,,,10.6,,,,0.1,0.3,,20,,,34005,,,,,10,
34002,,-0.5,,7070,,295,,618,,428,,,,10.6,,,,0.1,0.3,,20,,,34002-34007,,,,,10,
35001,,-0.5,,5460,,228,,497,,364,,,,10.5,,,,0.1,0.3,,20,,,,,,,,10,
35002,,-0.5,,7280,,303,,581,,452,,,,10.5,,,,0.1,0.3,,20,,,35001-35002-35003,,,,,10,
36001,,-0.5,,5010,,209,,528,,305,,,,10.6,,,,0.1,0.3,,20,,,,,,,,10,
36002,,-0.5,,7030,,293,,622,,399,,,,10.6,,,,0.1,0.3,,20,,,,,,,,10,
37001,,-0.5,,4730,,197,,558,,309,,,,10.6,,,,0.1,0.3,,20,,,37005,,,,,10,
37002,,-0.5,,7070,,295,,648,,393,,,,10.6,,,,0.1,0.3,,20,,,37005-999073,,,,,10,
38001,,-0.5,,5490,,229,,505,,351,,,,10.5,,,,0.1,0.3,,20,,,,,,,,10,
38002,,-0.5,,7700,,321,,594,,443,,,,10.5,,,,0.1,0.3,,20,,,38006-38007,,,,,10,
39001,,-0.5,,5080,,212,,566,,302,,,,10.5,,,,0.1,0.3,,20,,,39005,,,,,10,
40001,,-0.5,,5260,,219,,481,,367,,,,10.6,,,,0.1,0.3,,20,,,991032-993017,,,,,10,
41001,,-0.5,,5110,,213,,571,,298,,,,10.5,,,,0.1,0.3,,20,,,,,,,,10,
42001,,-0.5,,5530,,230,,505,,351,,,,10.5,,,,0.1,0.3,,20,,,,,,,,10,
411,,,,1720,,,,165,,150,,,,10.3,,,,0.1,0.3,,5000,,,,,,,,5000,
711,,,,2340,,,,143,,243,,,,,,,,0.1,0.3,,5000,,,,,,,,5000,
712,,,,2340,,,,143,,243,,,,,,,,0.1,0.3,,5000,,,,,,,,5000,
1801,,,,1800,,,,250,,250,,,,10,,,,0.1,0.3,,5000,,,,,,,,5000,
3201,,,,2210,,,,297,,225,,,,10,,,,0.1,0.3,,5000,,,,,,,,5000,
3601,,,,2450,,,,281,,255,,,,10,,,,0.1,0.3,,5000,,,,,,,,5000,
3801,,,,2450,,,,281,,255,,,,10,,,,0.1,0.3,,5000,,,,,,,,5000,
1002,,,,,,,,,0.5,,,,,,,0.2,0.2,,,,,,,,,,,,,
1003,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,
1004,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,
1005,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,
1009,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,
5503,,,,,,,-6,,,,,,,,,,,,,,,,,,,,,,,
1006,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,
1007,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,
1008,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,
1010,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,
1011,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,
1012,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,
1013,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,
1014,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,
1015,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,
1016,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,
1017,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,
1018,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,
1019,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,
1020,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,
1021,,,,,,,,,-0.5,,,,,,,,,,,,,,,,,,,,,
1022,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,
1023,,,,,,,,,-1.5,,,,,,,,,,,,,,,,,,,,,
1024,,,,,,,,,0.06,,0.12,,,,,,,,,,,,,,,,,,,
1025,,,,,,,,,0.12,,0.24,,,,,,,,,,,,,,,,,,,
1026,,,,,,,,,0.18,,0.36,,,,,,,,,,,,,,,,,,,
1027,,,,,,,,,0.24,,0.48,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,-0.2,,,,,,,,,,,,
2802,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,
2803,,,,,,,,,0.3,,,,,,,0.3,,,,,,,,,,,,,,
2804,,,,,,,,,,,,,,,,,,,,,,,,2804,,,,,,
990048,,,,,,,,,0.3,,,,,,,0.3,,,,,,,,,,,,,,
993527,,,,,,,,,,,,,,,,,,,,,,,,993527,,,,,,
993528,,,,,,,,,0.15,,0.6,,,,,,,,,,,,,,,,,,,
993540,,,,,,,,,,,,,,,,,,,,,,,,993540,,,,,,
993542,,,,,,,,,,,,,,,,,,,,,,,,993542,,,,,,
993545,,,,,,,,,,,,,,,,,,,,,,,,993545,,,,,,
993549,,,,,,,,,,,,,,,,,,,,,,,,993549,,,,,,
999038,,,,,,,,,-0.02,,,,,,,,,-0.06,,,,,,,,,,,,
999040,,,,,,,,,,,,,,,,,,-0.5,,,,,,,,,,,,
995006,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,
995007,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,
992031,,,,,,,0.15,,,,0.6,,,,,,,,,,,,,,,,,,,
9910003,,,,,0.1,,,,0.1,,,,,,,,,,,,,,,,,,,,,
999001,,,,1000,,,,250,,150,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999002,,,,1100,,,,253,,150,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999003,,,,1200,,,,255,,150,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999004,,,,1300,,,,258,,150,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999005,,,,1400,,,,260,,150,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999006,,,,1550,,,,265,,150,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999007,,,,1700,,,,270,,150,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999008,,,,1850,,,,275,,150,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999009,,,,2000,,,,280,,150,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999010,,,,2200,,,,288,,150,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999011,,,,2400,,,,295,,150,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999012,,,,2600,,,,303,,150,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999013,,,,2800,,,,310,,150,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999014,,,,3100,,,,323,,150,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999015,,,,3400,,,,335,,150,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999016,,,,3700,,,,348,,150,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999017,,,,4100,,,,360,,150,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999018,,,,4600,,,,380,,150,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999019,,,,5200,,,,400,,150,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999020,,,,5800,,,,420,,150,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999021,,,,990,,,,278,,128,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999022,,,,1080,,,,281,,128,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999023,,,,1170,,,,284,,128,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999024,,,,1260,,,,286,,128,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999025,,,,1530,,,,297,,128,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999026,,,,1665,,,,303,,128,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999027,,,,1800,,,,308,,128,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999028,,,,1980,,,,317,,128,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999029,,,,2340,,,,333,,128,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999030,,,,2520,,,,341,,128,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999031,,,,2790,,,,355,,128,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999032,,,,3060,,,,369,,128,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999033,,,,3690,,,,396,,128,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999034,,,,4140,,,,418,,128,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999035,,,,4680,,,,440,,128,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999036,,,,5220,,,,462,,128,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999041,,,,800,,,,300,,105,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999042,,,,880,,,,304,,105,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999043,,,,960,,,,306,,105,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999044,,,,1040,,,,310,,105,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999045,,,,1120,,,,312,,105,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999046,,,,1240,,,,318,,105,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999047,,,,1360,,,,324,,105,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999048,,,,1480,,,,330,,105,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999049,,,,1600,,,,336,,105,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999050,,,,1760,,,,346,,105,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999051,,,,1920,,,,354,,105,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999052,,,,2080,,,,364,,105,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999053,,,,2240,,,,372,,105,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999054,,,,2480,,,,388,,105,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999055,,,,2720,,,,402,,105,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999056,,,,2960,,,,418,,105,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999057,,,,3280,,,,432,,105,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999058,,,,3680,,,,456,,105,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999059,,,,4160,,,,480,,105,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999060,,,,4640,,,,504,,105,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999061,,,,1680,,,,166,,180,,,,11,,,,0.1,0.5,,20,,,,,,,,10,
999062,,,,1820,,,,168,,180,,,,11,,,,0.1,0.5,,20,,,,,,,,10,
999063,,,,1960,,,,169,,180,,,,11,,,,0.1,0.5,,20,,,,,,,,10,
999064,,,,2590,,,,179,,180,,,,11,,,,0.1,0.5,,20,,,,,,,,10,
999065,,,,2800,,,,182,,180,,,,11,,,,0.1,0.5,,20,,,,,,,,10,
999066,,,,3080,,,,187,,180,,,,11,,,,0.1,0.5,,20,,,,,,,,10,
999067,,,,3920,,,,202,,180,,,,11,,,,0.1,0.5,,20,,,,,,,,10,
999068,,,,4340,,,,210,,180,,,,11,,,,0.1,0.5,,20,,,,,,,,10,
999069,,,,4760,,,,218,,180,,,,11,,,,0.1,0.5,,20,,,,,,,,10,
999070,,,,6440,,,,247,,180,,,,11,,,,0.1,0.5,,20,,,,,,,,10,
999071,,,,7280,,,,260,,180,,,,11,,,,0.1,0.5,,20,,,,,,,,10,
999072,,,,8120,,,,273,,180,,,,11,,,,0.1,0.5,,20,,,,,,,,10,
999081,,,,3000,,,,332,,180,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999082,,,,3250,,,,335,,180,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999083,,,,3500,,,,338,,180,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999084,,,,4625,,,,358,,180,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999085,,,,5000,,,,364,,180,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999086,,,,5500,,,,374,,180,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999087,,,,7000,,,,403,,180,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999088,,,,7750,,,,420,,180,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999089,,,,8500,,,,436,,180,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999090,,,,11500,,,,494,,180,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999091,,,,13000,,,,520,,180,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999092,,,,14500,,,,546,,180,,,,12,,,,0.1,0.5,,20,,,,,,,,10,
999101,,,,19600,,,,650,,225,,,,13,,,,0.1,0.5,,100,,,,,,,,100,
999102,,,,30800,,,,720,,225,,,,13,,,,0.1,0.5,,100,,,,,,,,100,
999103,,,,47600,,,,838,,225,,,,13,,,,0.1,0.5,,100,,,,,,,,100,
999104,,,,81200,,,,1050,,225,,,,13,,,,0.1,0.5,,100,,,,,,,,100,
999105,,,,16800,,,,780,,180,,,,11,,,,0.1,0.5,,100,,,,,,,,100,
999106,,,,26400,,,,864,,180,,,,11,,,,0.1,0.5,,100,,,,,,,,100,
999107,,,,40800,,,,1005,,180,,,,11,,,,0.1,0.5,,100,,,,,,,,100,
999108,,,,69600,,,,1260,,180,,,,11,,,,0.1,0.5,,100,,,,,,,,100,
999109,,,,14000,,,,910,,150,,,,15,,,,0.1,0.5,,100,,,,,,,,100,
999110,,,,22000,,,,1008,,150,,,,15,,,,0.1,0.5,,100,,,,,,,,100,
999111,,,,34000,,,,1173,,150,,,,15,,,,0.1,0.5,,100,,,,,,,,100,
999112,,,,58000,,,,1470,,150,,,,15,,,,0.1,0.5,,100,,,,,,,,100,
999113,,,,13000,,,,100,,100,,,,6,,,,0.1,0.5,,20,,,,,,,,10,
993524,,,,,,,,,,,,,,,,,,,,,,,,993524,,,,,,
993526,,,,,,,,,,,,,,,,,,,,,,,,993526,,,,,,
FA0010,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,
FA0011,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,
FA0012,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,
FA0013,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,
FA0014,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,
FA0020,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
FA0021,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
FA0022,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
FA0023,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
FA0024,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
FA0030,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,
FA0031,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,
FA0032,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,
FA0033,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,
FA0034,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,
FA0040,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,
FA0041,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,
FA0042,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,
FA0043,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,
FA0044,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,
FA0050,,,,,,,,,,,,,,,,,,,,,,,,999014,,,,,,
FA0051,,,,,,,,,,,,,,,,,,,,,,,,999015,,,,,,
FA0052,,,,,,,,,,,,,,,,,,,,,,,,999016,,,,,,
FA0053,,,,,,,,,,,,,,,,,,,,,,,,999017,,,,,,
FA0054,,,,,,,,,,,,,,,,,,0.18,,,,,,999018,,,,,,
FA0060,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
FA0061,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
FA0062,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
FA0063,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
FA0064,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
FA0070,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,
FA0071,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,
FA0072,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,
FA0073,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,
FA0074,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,
FA0080,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,
FA0081,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,
FA0082,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,
FA0083,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,
FA0084,,,,,,,,,,,,,,,,,,0.18,0.25,,,,,,,,,,,
FA0090,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
FA0091,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
FA0092,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,
FA0093,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
FA0094,,,,,0.35,,,,,,,,,,,,,,,,,,,999037,,,,,,
FA0104,,,,,,,,,,,0.45,,,,,,,,,,,,,992511,,,,,,
FA0110,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,
FA0111,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,
FA0112,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,
FA0113,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,
FA0114,,,,,,,0.2,,,,,,,,,0.5,,,,,,,,,,,,,,
FA0124,,,,,0.35,,,,,,,,,,,,,,,,,,,993016,,,,,,
FA0130,,,,,,,,,,,,,,,,0.08,,,0.04,,,,,,,,,,,
FA0131,,,,,,,,,,,,,,,,0.12,,,0.07,,,,,,,,,,,
FA0132,,,,,,,,,,,,,,,,0.16,,,0.1,,,,,,,,,,,
FA0133,,,,,,,,,,,,,,,,0.25,,,0.13,,,,,,,,,,,
FA0134,,,,,,,,,,,,,,,,0.4,,,0.2,,,,,990027,,,,,,
FA0140,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,
FA0141,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,
FA0142,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,
FA0143,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,
FA0144,,,,,,,,,,,,,0.25,,,,,,,,,,,999069,,,,,,
FA0154,,,,,0.35,,,,,,,,,,,,,,,,,,,992030,,,,,,
FA0160,,,,,,,0.05,,,,,,,,,,,,,,,,,990049,,,,,,
FA0161,,,,,,,0.08,,,,,,,,,,,,,,,,,990049,,,,,,
FA0162,,,,,,,0.12,,,,,,,,,,,,,,,,,990049,,,,,,
FA0163,,,,,,,0.16,,,,,,,,,,,,,,,,,990049,,,,,,
FA0164,,,,,,,0.2,,,,0.35,,,,,,,,,0.25,,,,,,,,,,
Build01_1_1,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,
Build01_2_1,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,
Build01_3_1,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,
Build01_4_1,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,
Build01_5_1,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,
Build01_6_1,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,
Build01_7_1,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,
Build01_8_1,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,
Build01_9_1,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,
Build01_10_1,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,
Build01_1_2,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,
Build01_2_2,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
Build01_3_2,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,
Build01_4_2,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
Build01_5_2,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,
Build01_6_2,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,
Build01_7_2,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,
Build01_8_2,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,
Build01_9_2,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,
Build01_10_2,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,
Build02_1_1,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,
Build02_2_1,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,
Build02_3_1,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,
Build02_4_1,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,
Build02_5_1,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,
Build02_6_1,,,,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,
Build02_7_1,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,
Build02_8_1,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,
Build02_9_1,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,,,,
Build02_10_1,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,
Build02_1_2,,,,,,,,,,,,,,,,,,,,,,,,996015,,,,,,
Build02_2_2,,,,,,,,,,,,,,,,,,,,,,,,996016,,,,,,
Build02_3_2,,,,,,,,,,,,,,,,,,,,,,,,996017,,,,,,
Build02_4_2,,,,,,,,,,,,,,,,,,,,,,,,996018,,,,,,
Build02_5_2,,,,,,,,,,,,,,,,,,,,,,,,996019,,,,,,
Build02_6_2,,,,,,,,,,,,,,,,,,,,,,,,996020,,,,,,
Build02_7_2,,,,,,,,,,,,,,,,,,,,,,,,996021,,,,,,
Build02_8_2,,,,,,,,,,,,,,,,,,,,,,,,996022,,,,,,
Build02_9_2,,,,,,,,,,,,,,,,,,,,,,,,996023,,,,,,
Build02_10_2,,,,,,,,,,,,,,,,,,,,,,,,996024,,,,,,
Build03_1_1,,,,,,,,,,,,,,,,,,,0.02,,,,,999086,,,,,,
Build03_2_1,,,,,,,,,,,,,,,,,,,0.04,,,,,999086,,,,,,
Build03_3_1,,,,,,,,,,,,,,,,,,,0.06,,,,,999086,,,,,,
Build03_4_1,,,,,,,,,,,,,,,,,,,0.08,,,,,999086,,,,,,
Build03_5_1,,,,,,,,,,,,,,,,,,,0.1,,,,,999086,,,,,,
Build03_6_1,,,,,,,,,,,,,,,,,,,0.12,,,,,999086,,,,,,
Build03_7_1,,,,,,,,,,,,,,,,,,,0.14,,,,,999086,,,,,,
Build03_8_1,,,,,,,,,,,,,,,,,,,0.16,,,,,999086,,,,,,
Build03_9_1,,,,,,,,,,,,,,,,,,,0.18,,,,,999086,,,,,,
Build03_10_1,,,,,,,,,,,,,,,,,,,0.2,,,,,999086,,,,,,
Build03_1_2,,,,,,,,,,,,,,,,,,,0.02,,,,,999076,,,,,,
Build03_2_2,,,,,,,,,,,,,,,,,,,0.04,,,,,999077,,,,,,
Build03_3_2,,,,,,,,,,,,,,,,,,,0.06,,,,,999078,,,,,,
Build03_4_2,,,,,,,,,,,,,,,,,,,0.08,,,,,999079,,,,,,
Build03_5_2,,,,,,,,,,,,,,,,,,,0.1,,,,,999080,,,,,,
Build03_6_2,,,,,,,,,,,,,,,,,,,0.12,,,,,999081,,,,,,
Build03_7_2,,,,,,,,,,,,,,,,,,,0.14,,,,,999082,,,,,,
Build03_8_2,,,,,,,,,,,,,,,,,,,0.16,,,,,999083,,,,,,
Build03_9_2,,,,,,,,,,,,,,,,,,,0.18,,,,,999084,,,,,,
Build03_10_2,,,,,,,,,,,,,,,,,,,0.2,,,,,999085,,,,,,
Build04_1_1,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Build04_2_1,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Build04_3_1,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,
Build04_4_1,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Build04_5_1,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
Build04_6_1,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
Build04_7_1,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,
Build04_8_1,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,
Build04_9_1,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,
Build04_10_1,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Build04_1_2,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Build04_2_2,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Build04_3_2,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
Build04_4_2,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
Build04_5_2,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
Build04_6_2,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,
Build04_7_2,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,
Build04_8_2,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,
Build04_9_2,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,
Build04_10_2,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,
